step,sec,dump
0,16.349,Nsync-grv=   1600000 Nsync-hyd=    600000  :*********************************tttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXeeeEEEEcccccccccCC999H[+++033333337777777
1,0.665,Nsync-grv=     53310 Nsync-hyd=     15149  :::rE****************************tttttttttttxxxxXXXXXXXXXXXeC9Hy++++++++++++++++++++++++++++++++++++++++++++++"""o?A0KF-
2,2.628,Nsync-grv=    572806 Nsync-hyd=    329366  :*************************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXeeEcccC9999999HHHH[[[[[[yyyy++++"?0000KF
3,0.559,Nsync-grv=     53264 Nsync-hyd=     15041  :::rrd*********************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXeC9HH[yy+++++++++++++++++++++l"""o??A00K7--
4,4.284,Nsync-grv=   1007864 Nsync-hyd=    599405  r*****************************tttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEEccCC99999999HHHH[[[[yyyy+++?A00000017
5,0.518,Nsync-grv=     53234 Nsync-hyd=     15303  ::::rDE************************************ttttttttttttttxxxxxxxXXXXXXXXXXXX#E999[y++++++++++++++++++++++l"""o??AA0KF---
6,2.532,Nsync-grv=    572788 Nsync-hyd=    328954  :E*****************************************ttttttttttttttxxxxxxxXXXXXXXXXXXXeeEEcccC999999HHHHHH[[[[[[[yyyy+++++"?A0001F
7,0.578,Nsync-grv=     53103 Nsync-hyd=     15475  :::rDE**************************tttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXec99H[+++++++++++++++++++l"""o?AA0KF-
8,4.024,Nsync-grv=   1108210 Nsync-hyd=    599315  r***************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeEEccCJ99999999HHHHH[[[[yyyyy+++??A00000TF
9,0.542,Nsync-grv=     52757 Nsync-hyd=     15307  :::rrDE******************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXeC99Hy++++++++++++++++++l"""o??AI01F--
10,2.363,Nsync-grv=    572491 Nsync-hyd=    328406  :*********************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXeeeEcC99999999HHHHH[[[yyyy++++lo?00001F
11,0.624,Nsync-grv=     52639 Nsync-hyd=     14938  :::rrE**********************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXE99Hy++++++++++++++++"""o??A0KF--
12,4.236,Nsync-grv=   1007857 Nsync-hyd=    598370  ::r*******************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeeEcCj99999999HHHH[[[[yyyyy++"?00017-
13,0.691,Nsync-grv=     52468 Nsync-hyd=     14683  :::::::::::::rrrrrrrrrE****************************tttttttttxxxXXXXXXXXXe99H++++++++++++++++l""oo?A)KF------------------
14,2.474,Nsync-grv=    572167 Nsync-hyd=    327796  :r*****************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXeeeEcC9999999HHHHH[[[[yyyy++++"?A000001F
15,0.480,Nsync-grv=     52245 Nsync-hyd=     14662  ::::rDE**************************************ttttttttttttttxxxxxxXXXXXXXXXXXXXXeJ99Hy+++++++++++++++++++++l""""o??A0K7--
16,3.861,Nsync-grv=   1296338 Nsync-hyd=    598281  :***********************************************tttttttttttttttxxxxXXXXXXXXXXXXXXaeeeEcC999999999HHHHH[[[yyyy+++"?A00017
17,0.619,Nsync-grv=     52042 Nsync-hyd=     14862  :::rd***********************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeJ9H[y++++++++++++++++"""o?AA0KF-
18,2.692,Nsync-grv=    572161 Nsync-hyd=    327376  :***********************************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXeeEEcC99999999HHH[[yyy++++"?0001F
19,0.492,Nsync-grv=     51821 Nsync-hyd=     15184  ::::rDe***********************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXec99H[y+++++++++++++++++++++l"""o???)0kF-
20,3.944,Nsync-grv=   1007817 Nsync-hyd=    597392  r************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXBeeEEccCCj999999999HHHH[[[[yyyy+++o?000001F
21,0.586,Nsync-grv=     51649 Nsync-hyd=     15588  :::rrd*****************************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXec99H[yy++++++++++++++++++"""o??A00KF---
22,2.591,Nsync-grv=    572358 Nsync-hyd=    327154  :****************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeEEcccCC99999999HHHH[[[[yyyy++++"?A0000kF
23,0.578,Nsync-grv=     51390 Nsync-hyd=     15794  :::rrde****************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXec99H[y++++++++++++++++++++l"""o?A)0kF---
24,3.953,Nsync-grv=   1108168 Nsync-hyd=    597327  r****************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXdeeEEcCJ999999999HHHH[[[[yyyyy+++??0000017
25,0.588,Nsync-grv=     50967 Nsync-hyd=     15668  :::rrd***************************ttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXeC9HHyy++++++++++++++++++++++"""o??AA0K7---
