step,sec,dump
0,24.737,Nsync-grv=   1600000 Nsync-hyd=    600000  :*********************************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXeeeeEEEcccccCC999Hy++0333337777
1,0.988,Nsync-grv=     53310 Nsync-hyd=     15149  ::::rd******************************************tttttttttxxxXXXXXXXXe99H+++++++++++++++++++++++++++++++++++++""""o?A)07-
2,4.125,Nsync-grv=    572806 Nsync-hyd=    329366  :*****************************************************tttttttttttttxxxxxXXXXXXXXXXXXeeeEcC9999999999HHHH[[yyy+++"?A00007
3,0.875,Nsync-grv=     53264 Nsync-hyd=     15045  ::::rDE********************************************ttttttttttttttxxxxXXXXXXXXXXXXXXec99Hy+++++++++++++++++""""o??AA0K7--
4,6.269,Nsync-grv=   1007864 Nsync-hyd=    599388  :***********************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXeeeeEC9999999999999HHH[yyy++"??000017
5,0.802,Nsync-grv=     53234 Nsync-hyd=     15309  :::::rDe**************************************************tttttttttttxxxXXXXXXXXXXXe999Hy+++++++++++++++++l""""o???A0KF-
6,3.912,Nsync-grv=    572788 Nsync-hyd=    328928  :e**********************************************************ttttttttttxxxxxxXXXXXXheeeEcC9999999999HHHH[[[yy++++"oA000K7
7,0.884,Nsync-grv=     53101 Nsync-hyd=     15480  :::::DE******************************************ttttttttttttttxxxxxXXXXXXXXXXXXXXec999Hyy++++++++++++++++l""""o???A0KF-
8,6.512,Nsync-grv=   1108210 Nsync-hyd=    599269  :************************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXdeeeEcC999999999999HHH[yy+++?A00017
9,0.846,Nsync-grv=     52753 Nsync-hyd=     15314  :::::Dd*********************************************ttttttttttttttxxxxxxxxxXXXXXXXXXeC999y+++++++++++++++++"""""o??A0KF-
10,4.133,Nsync-grv=    572492 Nsync-hyd=    328412  :****************************************************ttttttttttttttxxxxxXXXXXXXXXXXXBeeeEcC9999999999HHH[[yyy++++"?00007
11,0.885,Nsync-grv=     52638 Nsync-hyd=     14959  ::::rDE***************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXe999Hy++++++++++++++++""""oo?A)0K--
12,6.149,Nsync-grv=   1007857 Nsync-hyd=    598362  :**************************************************ttttttttttttttxxxxxXXXXXXXXXXXXXeeeeEEC9999999999999HHH[yyy++"?A00017
13,0.823,Nsync-grv=     52468 Nsync-hyd=     14705  :::::rD***********************************************tttttttttttttxxxxXXXXXXXXXXXXeJ99Hy+++++++++++++++++l""""o??AA0KF-
14,4.499,Nsync-grv=    572167 Nsync-hyd=    327784  :********************************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXDeeEEcC99999999HHHH[[[yy++++"A00007
15,0.858,Nsync-grv=     52238 Nsync-hyd=     14685  ::::rDE*****************************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXec99H[++++++++++++++++++""""oo??AI07-
16,6.695,Nsync-grv=   1296338 Nsync-hyd=    598230  :*******************************************************tttttttttttttxxxxxXXXXXXXXXXXXeeeeEC999999999999HHH[yy+++oA00017
17,0.885,Nsync-grv=     52037 Nsync-hyd=     14862  ::::rDE***************************************ttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXDE99H[++++++++++++++++l""""o??AIKF-
18,4.337,Nsync-grv=    572163 Nsync-hyd=    327359  :***********************************************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXeeeEcC999999999HHHH[[[yy++++"?00007
19,0.852,Nsync-grv=     51824 Nsync-hyd=     15209  ::::rDE******************************************tttttttttttttttxxxxxxxxXXXXXXXXXXXdE999[++++++++++++++++++""""oo??A0KF-
20,6.330,Nsync-grv=   1007817 Nsync-hyd=    597318  :************************************************ttttttttttttttxxxxxXXXXXXXXXXXXXXeeeeEcC999999999999HHHH[yyyy++"?000017
21,0.862,Nsync-grv=     51644 Nsync-hyd=     15577  ::::rDE*****************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXe999H[+++++++++++++++++""""oo??A0KF-
22,4.244,Nsync-grv=    572361 Nsync-hyd=    327085  :*************************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXDeeeEcC999999999HHHH[[yy++++"?00007
23,0.888,Nsync-grv=     51383 Nsync-hyd=     15778  ::::rDE**************************************ttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXhE999Hy++++++++++++++++""""oo??A0kF-
24,6.524,Nsync-grv=   1108168 Nsync-hyd=    597200  :*************************************************tttttttttttttttxxxxxXXXXXXXXXXXXXXeeeeEcC999999999999HHH[yyy+++?)00017
25,0.801,Nsync-grv=     50971 Nsync-hyd=     15675  :::::rDe***********************************************tttttttttttxxxxxXXXXXXXXXXec99HH[++++++++++++++++++""""oo??A)0k--
26,4.308,Nsync-grv=    572630 Nsync-hyd=    326894  :************************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXeeeEcC9999999999HHH[[yyy++++oA00007
27,0.853,Nsync-grv=     50432 Nsync-hyd=     15290  ::::rDE***************************************tttttttttttttttxxxxxxxxxxxxxxXXXXXXXXeC99H[y+++++++++++++++++""""o??AA0KF-
28,6.310,Nsync-grv=   1007841 Nsync-hyd=    596300  :*************************************************ttttttttttttttxxxxxXXXXXXXXXXXXXeeeeECJ999999999999HHH[[yyy++"??)00017
29,0.791,Nsync-grv=     49890 Nsync-hyd=     15067  :::::rDe********************************************tttttttttttttxxxxxxxXXXXXXXXXXeC99H[y++++++++++++++++++"""""o??A0KF-
30,4.557,Nsync-grv=    572896 Nsync-hyd=    326641  :******************************************ttttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXXeeeEEcCJ99999999HHHH[yyyy+++"?00007
31,0.835,Nsync-grv=     49459 Nsync-hyd=     15151  :::::rd****************************************ttttttttttttttxxxxxxxxxXXXXXXXXXXXXhe999H[++++++++++++++++++""""o???A0KF-
32,7.026,Nsync-grv=   1467823 Nsync-hyd=    596202  :******************************************************ttttttttttttttxxxxxxXXXXXXXXXXXheeeEcC99999999999HHH[yyy++"?0000T
33,0.777,Nsync-grv=     48772 Nsync-hyd=     15300  :::::rDe******************************************tttttttttttttxxxxxxXXXXXXXXXXXXXeC99H[y+++++++++++++++++l""""oo??A0KF-
34,4.363,Nsync-grv=    573232 Nsync-hyd=    326427  :*********************************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXeeeEEC9999999999HHH[[yyy+++"?00007
35,0.765,Nsync-grv=     48199 Nsync-hyd=     15380  :::::rDE********************************************ttttttttttttxxxxXXXXXXXXXXXe999H[+++++++++++++++++++++"""""o??AA0KF-
36,6.050,Nsync-grv=   1007831 Nsync-hyd=    595269  :****************************************************tttttttttttttxxxxXXXXXXXXXXXXXeeeeEcC9999999999999HHH[yyy++"?000017
37,0.779,Nsync-grv=     47529 Nsync-hyd=     15217  :::::rDe*************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXeC99H[y++++++++++++++++++l""""o???A0KF-
38,4.364,Nsync-grv=    573376 Nsync-hyd=    326129  :***********************************************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXeeeEcC999999999HHHH[[yyy+++"?I0007
39,0.895,Nsync-grv=     46634 Nsync-hyd=     15079  ::::rrDe*****************************ttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXeC99Hy+++++++++++++++++""""o??A)07---
40,7.231,Nsync-grv=   1108193 Nsync-hyd=    595165  :********************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXXXeeeEEC99999999999HHH[[yyyy+++?A00017
41,0.789,Nsync-grv=     45677 Nsync-hyd=     15039  :::::rDE*************************************ttttttttttttttxxxxxxxxxxXXXXXXXXXXeC99H[y++++++++++++++++++++"""""o???)01--
42,4.653,Nsync-grv=    573603 Nsync-hyd=    325861  :*******************************************ttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXeeeEcC999999999HHH[[[yy+++lo?00017
43,0.829,Nsync-grv=     44857 Nsync-hyd=     15081  :::::rDd****************************************tttttttttttttxxxxxXXXXXXXXXXXeE999[y+++++++++++++++++++++"""""o???A0kF--
44,7.488,Nsync-grv=   1007899 Nsync-hyd=    594267  r*****************************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXeeeEEcCC999999999HHHH[[[[[yyyy++"?000001F
45,0.732,Nsync-grv=     44223 Nsync-hyd=     15141  ::::::rDE*********************************************tttttttttxxxxXXXXXXXBe999H[+++++++++++++++++++++++l"""""o???A)0KF-
46,4.861,Nsync-grv=    573690 Nsync-hyd=    325536  :*****************************************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXeeeEC99999999HHHH[[[[yyy++++"?000007
47,0.833,Nsync-grv=     43533 Nsync-hyd=     14959  :::::rDe********************************ttttttttttttttxxxxxxxXXXXXXXXXXXXXXXec999Hy++++++++++++++++++++++l""""o??AAIKF--
48,7.346,Nsync-grv=   1296622 Nsync-hyd=    594196  :***************************************************ttttttttttttttxxxxxXXXXXXXXXXXXXeeeEEcCC99999999999HHH[yyy+++?A00017
49,0.819,Nsync-grv=     42737 Nsync-hyd=     14581  :::::rDE************************************ttttttttttttttxxxxxxxxXXXXXXXXXXXXXXE999Hy+++++++++++++++++++l""""o???AIKF--
50,4.483,Nsync-grv=    574028 Nsync-hyd=    325364  :**************************************************ttttttttttttttxxxxxxxxxxXXXXXXX#eeeEcC9999999999HHHH[[[yy++++"?A000KF
51,0.784,Nsync-grv=     42294 Nsync-hyd=     14218  :::::rDd*************************************ttttttttttttttxxxxxxxXXXXXXXXXXXXXXeC99Hy+++++++++++++++++++l""""oo??A)K7--
52,6.894,Nsync-grv=   1007890 Nsync-hyd=    593257  :*********************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXXeeeeECJ9999999999HHHH[[[yyy+++??000017
53,0.807,Nsync-grv=     41994 Nsync-hyd=     13919  :::::rDde**********************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXE99H[y++++++++++++++++++l""""o??AA)0KF--
54,5.067,Nsync-grv=    574561 Nsync-hyd=    325311  :***************************************ttttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXeeeEC99999999HHH[yy++++"?000F
55,0.751,Nsync-grv=     41796 Nsync-hyd=     13402  :::::rDE*************************************ttttttttttttttxxxxxxXXXXXXXXXXXXXe999Hy+++++++++++++++++++++"""""oo??A)0kF-
56,6.988,Nsync-grv=   1108170 Nsync-hyd=    593140  r**************************************************ttttttttttttttxxxxXXXXXXXXXXXXXheeeEcCC99999999999HHH[[yyy++"?A0000TF
57,0.780,Nsync-grv=     41554 Nsync-hyd=     12802  :::::rrDE***********************************tttttttttttttxxxxxxXXXXXXXXXXXXXeC99[+++++++++++++++++++++++"""""o???A0KF---
58,4.821,Nsync-grv=    574958 Nsync-hyd=    325120  :*********************************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXeeeEEcC99999999HHHH[[[[yy++++"?)000F
59,0.745,Nsync-grv=     41379 Nsync-hyd=     12170  :::::rDd******************************************ttttttttttxxxXXXXXXXXXXeC99[y+++++++++++++++++++++++++l""""oo??AA)KT--
60,6.655,Nsync-grv=   1007891 Nsync-hyd=    592171  :************************************************ttttttttttttttxxxxxXXXXXXXXXXXXXheeeEEcCJ99999999999HHHH[yyy+++"?A00017
61,0.778,Nsync-grv=     41109 Nsync-hyd=     11632  :::::rrDe**********************************ttttttttttttttxxxxxxxxxXXXXXXXXXXXec99Hy++++++++++++++++++++"""""o????A)0kF--
62,4.974,Nsync-grv=    575417 Nsync-hyd=    324970  :****************************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXeeeEcC9999999HHHHH[[[yyy++++oA00KF
63,0.777,Nsync-grv=     40998 Nsync-hyd=     11176  ::::::rrDE*************************************ttttttttttttxxxxxxXXXXXXXXXXEC99[+++++++++++++++++++++++"""""o??AA0k-----
64,7.932,Nsync-grv=   1600000 Nsync-hyd=    592102  r*********************************************************ttttttttttttxxxxxxXXXXXXXXXXeeeeEC9999999999HHH[[yyy++?A000017
65,0.729,Nsync-grv=     40870 Nsync-hyd=     10793  ::::::rDE*****************************************ttttttttttttxxxxxXXXXXXXXXXXXE99H+++++++++++++++++++++"""""oo???A0KkF-
66,5.016,Nsync-grv=    575890 Nsync-hyd=    324894  :*****************************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXeeeEEcC99999999HHH[[yyyy++++"?00007
67,0.689,Nsync-grv=     40846 Nsync-hyd=     10402  ::::::rDE*********************************************tttttttttttxxxxXXXXXXXXeC99[++++++++++++++++++++++""""""o??AA)W1--
68,7.614,Nsync-grv=   1007883 Nsync-hyd=    591189  r***************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXeeeEEcCC999999999HHHH[[[[yyyy++"?A00017
69,0.643,Nsync-grv=     41009 Nsync-hyd=     10174  ::::::rDd***************************************************tttttttxxxxXXXXXe999y++++++++++++++++++++++l""""""oo??AA0KF-
